trade_date,portfolio_return,scheme
2024-01-05,-0.010014405981088973,Inertia(2.0σ)
2024-01-08,-0.017809518898963154,Inertia(2.0σ)
2024-01-09,0.004058895518540025,Inertia(2.0σ)
2024-01-10,0.00373406333896383,Inertia(2.0σ)
2024-01-11,0.004455649182541614,Inertia(2.0σ)
2024-01-12,-0.02444587056768902,Inertia(2.0σ)
2024-01-15,-0.012950475889882932,Inertia(2.0σ)
2024-01-16,0.012483929111315795,Inertia(2.0σ)
2024-01-17,-0.028234278470291748,Inertia(2.0σ)
2024-01-18,-0.010467777667749112,Inertia(2.0σ)
2024-01-19,-0.004482570346225952,Inertia(2.0σ)
2024-01-22,-0.054589499712891724,Inertia(2.0σ)
2024-01-23,0.0027626815617276534,Inertia(2.0σ)
2024-01-24,0.01610230051461355,Inertia(2.0σ)
2024-01-25,0.030096963217551568,Inertia(2.0σ)
2024-01-26,-0.003663813710861241,Inertia(2.0σ)
2024-01-29,-0.0325787577115249,Inertia(2.0σ)
2024-01-30,-0.024265100419463673,Inertia(2.0σ)
2024-01-31,-0.04117267740922596,Inertia(2.0σ)
2024-02-02,-0.05104854809487176,Inertia(2.0σ)
2024-02-05,-0.07173532961175741,Inertia(2.0σ)
2024-02-06,0.018884042707771945,Inertia(2.0σ)
2024-02-07,-0.011412752522016234,Inertia(2.0σ)
2024-02-08,0.061508790088353325,Inertia(2.0σ)
2024-02-19,0.023870708399451483,Inertia(2.0σ)
2024-02-20,0.008030217135333783,Inertia(2.0σ)
2024-02-21,0.013963165652074783,Inertia(2.0σ)
2024-02-22,0.01502301944453135,Inertia(2.0σ)
2024-02-23,0.01672268575034217,Inertia(2.0σ)
2024-02-26,0.017026711233273713,Inertia(2.0σ)
2024-02-27,0.022186439913988387,Inertia(2.0σ)
2024-02-28,-0.05316853573396248,Inertia(2.0σ)
2024-02-29,0.028298653620356086,Inertia(2.0σ)
2024-03-04,-0.007051302916987004,Inertia(2.0σ)
2024-03-05,-0.026680693280948065,Inertia(2.0σ)
2024-03-06,0.00934988927525305,Inertia(2.0σ)
2024-03-07,0.0047032296619092286,Inertia(2.0σ)
2024-03-08,0.0058594895744222015,Inertia(2.0σ)
2024-03-11,0.012282169676390182,Inertia(2.0σ)
2024-03-12,0.013059785957364812,Inertia(2.0σ)
2024-03-13,-0.004275747420616657,Inertia(2.0σ)
2024-03-14,-0.00828164734823224,Inertia(2.0σ)
2024-03-15,0.0222673766359482,Inertia(2.0σ)
2024-03-18,0.015087258655667438,Inertia(2.0σ)
2024-03-19,0.00016305363100327003,Inertia(2.0σ)
2024-03-20,0.018770617960674186,Inertia(2.0σ)
2024-03-21,-0.0023462708821055576,Inertia(2.0σ)
2024-03-22,-0.01310264150625513,Inertia(2.0σ)
2024-03-25,-0.025467664620906254,Inertia(2.0σ)
2024-03-26,0.003623314670849768,Inertia(2.0σ)
2024-03-27,-0.023916754450972685,Inertia(2.0σ)
2024-03-28,0.020891737244142426,Inertia(2.0σ)
2024-03-29,0.0027882837316849374,Inertia(2.0σ)
2024-04-02,0.007968343457496344,Inertia(2.0σ)
2024-04-03,-0.0037280500446955265,Inertia(2.0σ)
2024-04-08,-0.033038454613196294,Inertia(2.0σ)
2024-04-09,0.015450739813901675,Inertia(2.0σ)
2024-04-10,-0.017476444087588083,Inertia(2.0σ)
2024-04-11,0.003352207245493877,Inertia(2.0σ)
2024-04-12,-0.0034093415124611206,Inertia(2.0σ)
2024-04-15,-0.038145055231773264,Inertia(2.0σ)
2024-04-16,-0.05911407933911702,Inertia(2.0σ)
2024-04-17,0.06802308947646965,Inertia(2.0σ)
2024-04-18,-0.0042342414307165194,Inertia(2.0σ)
2024-04-19,-0.009006892846699584,Inertia(2.0σ)
2024-04-22,-0.008386551508224812,Inertia(2.0σ)
2024-04-23,0.007961753344874397,Inertia(2.0σ)
2024-04-24,0.018491752405127192,Inertia(2.0σ)
2024-04-25,0.010255017402189688,Inertia(2.0σ)
2024-04-26,0.01115911822308253,Inertia(2.0σ)
2024-04-29,0.024386669495685263,Inertia(2.0σ)
2024-04-30,0.00679762458608002,Inertia(2.0σ)
2024-05-07,-0.005643537387665623,Inertia(2.0σ)
2024-05-08,-0.006245844409411146,Inertia(2.0σ)
2024-05-09,0.001420949615052325,Inertia(2.0σ)
2024-05-10,-0.0082668683806321,Inertia(2.0σ)
2024-05-13,-0.016650473700076232,Inertia(2.0σ)
2024-05-14,0.007700242544794348,Inertia(2.0σ)
2024-05-15,-0.0047037526135556154,Inertia(2.0σ)
2024-05-16,0.005648163214681497,Inertia(2.0σ)
2024-05-17,0.015437486893669224,Inertia(2.0σ)
